"","Sexo do produtor","code_muni","Número de estabelecimentos agropecuários","Estabelicementos agropecuários (%)"
"1","Mulheres",1100015,184,9.5
"2","Mulheres",1100023,127,13.1
"3","Mulheres",1100031,59,13.6
"4","Mulheres",1100049,288,11.4
"5","Mulheres",1100056,22,7
"6","Mulheres",1100064,103,12.6
"7","Mulheres",1100072,99,14
"8","Mulheres",1100080,92,13.2
"9","Mulheres",1100098,142,13.7
"10","Mulheres",1100106,15,19
"11","Mulheres",1100114,208,14.4
"12","Mulheres",1100122,137,13.3
"13","Mulheres",1100130,238,15.6
"14","Mulheres",1100148,218,9.9
"15","Mulheres",1100155,172,15.1
"16","Mulheres",1100189,131,18.5
"17","Mulheres",1100205,327,17.9
"18","Mulheres",1100254,192,13.3
"19","Mulheres",1100262,15,8.2
"20","Mulheres",1100288,122,11.2
"21","Mulheres",1100296,60,11.2
"22","Mulheres",1100304,92,14.4
"23","Mulheres",1100320,143,9.4
"24","Mulheres",1100338,87,14.5
"25","Mulheres",1100346,138,12.9
"26","Mulheres",1100379,193,13
"27","Mulheres",1100403,205,16.7
"28","Mulheres",1100452,198,13.3
"29","Mulheres",1100502,74,8.7
"30","Mulheres",1100601,74,12.4
"31","Mulheres",1100700,74,7.7
"32","Mulheres",1100809,45,12.7
"33","Mulheres",1100908,21,8.6
"34","Mulheres",1100924,42,13.3
"35","Mulheres",1100940,151,15.9
"36","Mulheres",1101005,90,14.5
"37","Mulheres",1101104,78,17.5
"38","Mulheres",1101203,95,13.8
"39","Mulheres",1101302,71,14.8
"40","Mulheres",1101401,113,12.7
"41","Mulheres",1101435,56,9.1
"42","Mulheres",1101450,19,11.1
"43","Mulheres",1101468,14,9
"44","Mulheres",1101476,34,13
"45","Mulheres",1101484,36,8.5
"46","Mulheres",1101492,110,15.4
"47","Mulheres",1101500,87,10.5
"48","Mulheres",1101559,57,12.8
"49","Mulheres",1101609,64,13.3
"50","Mulheres",1101708,69,10.9
"51","Mulheres",1101757,73,10.3
"52","Mulheres",1101807,72,14.5
