"","code_muni","Área Total","Sexo do produtor","% de Área","Número de estabelecimentos agropecuários","Área média por propriedade"
"1",1100015,743,"Mulheres",0.4,338,2.2
"2",1100023,12849,"Mulheres",7.3,512,25.1
"3",1100031,0,"Mulheres",0,129,0
"4",1100049,7490,"Mulheres",4.3,471,15.9
"5",1100056,26,"Mulheres",0,72,0.36
"6",1100064,0,"Mulheres",0,245,0
"7",1100072,9,"Mulheres",0,212,0.04
"8",1100080,12053,"Mulheres",6.9,247,48.8
"9",1100098,7021,"Mulheres",4,241,29.13
"10",1100106,4745,"Mulheres",2.7,91,52.14
"11",1100114,1228,"Mulheres",0.7,562,2.19
"12",1100122,96,"Mulheres",0.1,384,0.25
"13",1100130,12384,"Mulheres",7.1,765,16.19
"14",1100148,30,"Mulheres",0,290,0.1
"15",1100155,7914,"Mulheres",4.5,310,25.53
"16",1100189,8525,"Mulheres",4.9,257,33.17
"17",1100205,4645,"Mulheres",2.6,1020,4.55
"18",1100254,5647,"Mulheres",3.2,318,17.76
"19",1100262,6200,"Mulheres",3.5,60,103.33
"20",1100288,87,"Mulheres",0,261,0.33
"21",1100296,13,"Mulheres",0,132,0.1
"22",1100304,5028,"Mulheres",2.9,310,16.22
"23",1100320,58,"Mulheres",0,275,0.21
"24",1100338,8449,"Mulheres",4.8,347,24.35
"25",1100346,416,"Mulheres",0.2,228,1.82
"26",1100379,6431,"Mulheres",3.7,224,28.71
"27",1100403,883,"Mulheres",0.5,444,1.99
"28",1100452,5910,"Mulheres",3.4,384,15.39
"29",1100502,2685,"Mulheres",1.5,125,21.48
"30",1100601,0,"Mulheres",0,112,0
"31",1100700,7211,"Mulheres",4.1,168,42.92
"32",1100809,9999,"Mulheres",5.7,271,36.9
"33",1100908,312,"Mulheres",0.2,57,5.47
"34",1100924,0,"Mulheres",0,140,0
"35",1100940,4774,"Mulheres",2.7,325,14.69
"36",1101005,2870,"Mulheres",1.6,279,10.29
"37",1101104,6,"Mulheres",0,143,0.04
"38",1101203,785,"Mulheres",0.4,145,5.41
"39",1101302,0,"Mulheres",0,172,0
"40",1101401,6743,"Mulheres",3.8,229,29.45
"41",1101435,1538,"Mulheres",0.9,148,10.39
"42",1101450,2465,"Mulheres",1.4,96,25.68
"43",1101468,3452,"Mulheres",2,30,115.07
"44",1101476,0,"Mulheres",0,55,0
"45",1101484,112,"Mulheres",0.1,79,1.42
"46",1101492,2568,"Mulheres",1.5,320,8.03
"47",1101500,192,"Mulheres",0.1,194,0.99
"48",1101559,1007,"Mulheres",0.6,89,11.31
"49",1101609,4164,"Mulheres",2.4,430,9.68
"50",1101708,0,"Mulheres",0,212,0
"51",1101757,2270,"Mulheres",1.3,227,10
"52",1101807,3364,"Mulheres",1.9,144,23.36
