"","Sexo do produtor","code_muni","Número de estabelecimentos agropecuários","Estabelicementos agropecuários (%)"
"1","Mulheres",1100015,43,9.8
"2","Mulheres",1100023,31,10.2
"3","Mulheres",1100031,18,12.4
"4","Mulheres",1100049,35,12.1
"5","Mulheres",1100056,9,7.6
"6","Mulheres",1100064,19,13.1
"7","Mulheres",1100072,27,15.3
"8","Mulheres",1100080,32,13.8
"9","Mulheres",1100098,45,12
"10","Mulheres",1100106,5,16.1
"11","Mulheres",1100114,21,9.1
"12","Mulheres",1100122,30,10.2
"13","Mulheres",1100130,28,14.6
"14","Mulheres",1100148,22,7.6
"15","Mulheres",1100155,35,12.5
"16","Mulheres",1100189,26,11.4
"17","Mulheres",1100205,59,13.7
"18","Mulheres",1100254,49,17.6
"19","Mulheres",1100262,8,9.6
"20","Mulheres",1100288,26,10.5
"21","Mulheres",1100296,8,9.8
"22","Mulheres",1100304,24,11.4
"23","Mulheres",1100320,13,5.8
"24","Mulheres",1100338,10,10.5
"25","Mulheres",1100346,33,15.6
"26","Mulheres",1100379,44,13.2
"27","Mulheres",1100403,26,12.9
"28","Mulheres",1100452,31,11.4
"29","Mulheres",1100502,14,8.3
"30","Mulheres",1100601,28,10.8
"31","Mulheres",1100700,15,11.4
"32","Mulheres",1100809,8,7.9
"33","Mulheres",1100908,3,4.1
"34","Mulheres",1100924,15,11
"35","Mulheres",1100940,30,13.5
"36","Mulheres",1101005,5,8.1
"37","Mulheres",1101104,6,6.7
"38","Mulheres",1101203,17,10.2
"39","Mulheres",1101302,18,23.1
"40","Mulheres",1101401,30,15.8
"41","Mulheres",1101435,12,7.7
"42","Mulheres",1101450,3,5.9
"43","Mulheres",1101468,3,3.6
"44","Mulheres",1101476,9,15
"45","Mulheres",1101484,6,8.3
"46","Mulheres",1101492,20,11.1
"47","Mulheres",1101500,8,6.3
"48","Mulheres",1101559,5,6.8
"49","Mulheres",1101609,8,10.3
"50","Mulheres",1101708,2,2.9
"51","Mulheres",1101757,8,8.1
"52","Mulheres",1101807,14,12.5
